DATE,CBBTCUSD,CBBCHUSD,CBCCIND,CBETHUSD,sp500,VIXCLS,T10YIE,DGS5,GOLDPMGBD230NLBM,SLVPRUSD,Fear&Greed
2018-02-01,9014.23,1254.86,4512.85001946,1017.48,2821.98,13.47,2.11,2.56,1078.58,17.19,30.0
2018-02-02,8787.52,1181.0,4455.29747044,911.99,2762.13,17.31,2.14,2.58,1071.18,17.135,15.0
2018-02-03,9240.0,1269.71,4655.89989817,969.4,2762.13,17.31,2.14,2.58,1071.18,17.135,40.0
2018-02-04,8167.91,1156.16,4168.79825416,826.0,2762.13,17.31,2.14,2.58,1071.18,17.135,24.0
2018-02-05,6905.19,880.0,3520.91953158,693.54,2648.94,37.32,2.1,2.5,1075.01,16.875,11.0
2018-02-06,7688.46,968.01,3834.5911523,783.83,2695.14,29.98,2.1,2.52,1079.63,16.805,8.0
2018-02-07,7575.75,955.0,3878.23963812,750.04,2681.66,27.73,2.1,2.57,1073.36,16.69,36.0
2018-02-08,8218.1,1278.0,4042.05012862,812.0,2581.0,33.46,2.09,2.57,1071.57,16.345,30.0
2018-02-09,8671.01,1299.83,4522.7993240000005,875.99,2619.55,29.06,2.05,2.52,1072.17,16.355,44.0
2018-02-10,8547.49,1239.7,4285.75777774,849.47,2619.55,29.06,2.05,2.52,1072.17,16.355,54.0
2018-02-11,8072.99,1210.0,4176.09485443,811.35,2619.55,29.06,2.05,2.52,1072.17,16.355,31.0
2018-02-12,8872.28,1279.39,4478.73801554,864.4,2656.0,25.61,2.07,2.56,1078.07,16.425,42.0
2018-02-13,8520.01,1219.82,4335.03154842,840.49,2662.94,24.97,2.05,2.54,1071.55,16.605,35.0
2018-02-14,9472.98,1355.0,4744.36238481,920.26,2698.63,19.26,2.09,2.65,1083.83,16.58,55.0
2018-02-15,10031.23,1358.72,5050.37687694,929.3,2731.2,19.13,2.11,2.65,1082.1,16.825,71.0
2018-02-16,10167.49,1533.0,5094.05663304,936.02,2732.22,19.46,2.09,2.63,1087.22,16.835,67.0
2018-02-17,11121.5,1546.35,5465.45044857,974.99,2732.22,19.46,2.09,2.63,1087.22,16.835,74.0
2018-02-18,10380.04,1452.97,5110.22772449,912.41,2732.22,19.46,2.09,2.63,1087.22,16.835,63.0
2018-02-19,11140.0,1523.14,5460.15469059,939.01,2732.22,19.46,2.09,2.63,1088.05,16.72,67.0
2018-02-20,11235.57,1386.99,5227.89269757,884.76,2716.26,20.6,2.1,2.65,1085.41,16.57,74.0
2018-02-21,10454.27,1284.73,4946.66951426,840.34,2701.33,20.02,2.12,2.69,1079.7,16.435,54.0
2018-02-22,9830.0,1210.0,4577.76119196,806.0,2703.96,18.72,2.11,2.66,1077.42,16.465,44.0
2018-02-23,10144.99,1252.01,4936.63478617,854.01,2747.3,16.49,2.12,2.62,1079.09,16.61,39.0
2018-02-24,9688.62,1178.0,4646.93948241,833.2,2747.3,16.49,2.12,2.62,1079.09,16.61,31.0
2018-02-25,9597.99,1173.02,4664.12938798,841.96,2747.3,16.49,2.12,2.62,1079.09,16.61,33.0
